var	variable	unit	temporal_resolution	per_soil_layer
AgeDL.H	Dead Leaf Age High Veg.	[day]	daily	FALSE
AgeDL.L	Dead Leaf Age Low Veg.	[day]	daily	FALSE
AgeL.H	Leaf Age High Veg.	[day]	daily	FALSE
AgeL.L	Leaf Age Low Veg.	[day]	daily	FALSE
ALB	Albedo	[-]	hourly	FALSE
alp.soil	Soil relative humidity	[-]	hourly	FALSE
An.H	Net Assimilation High Veg.	[µmol CO2 / m2 PFT s]	hourly	FALSE
An.L	Net Assimilation Low Veg.	[µmol CO2 / m2 PFT s]	hourly	FALSE
ANPP.H	Above Ground Net Prim. Product. High Veg.	[gC / m2 PFT day]	daily	FALSE
ANPP.L	Above Ground Net Prim. Product. Low Veg.	[gC / m2 PFT day]	daily	FALSE
B.H	Carbon Pool Biomass High Vegetation	[gC / m2 PFT]	daily	FALSE
B.L	Carbon Pool Biomass Low Vegetation	[gC / m2 PFT]	daily	FALSE
BLit	Total Litter Content on the Surface	[kg DM / m2]	daily	FALSE
Ca	Ca	[ppm]	hourly	FALSE
Ci.shdH	CO2 shaded leaf internal concentration High Veg.	[ppm]	hourly	FALSE
Ci.shdL	CO2 shaded leaf internal concentration Low Veg.	[ppm]	hourly	FALSE
Ci.sunH	CO2 sunlit leaf internal concentration High Veg.	[ppm]	hourly	FALSE
Ci.sunL	CO2 sunlit leaf internal concentration Low Veg.	[ppm]	hourly	FALSE
Cice	Pres. [1] or absence of ice [0]	[-]	hourly	FALSE
Cicew	Pres. [1] or absence of frozen water [0]	[-]	hourly	FALSE
CK1	Check on Mass Balance	[mm]	hourly	FALSE
Csno	Pres. [1] or absence of snow [0]	[-]	hourly	FALSE
Csnow	Pres. [1] or absence of snow above frozen water [0]	[-]	hourly	FALSE
dflo.H	Days from Leaf Onset High Vegetation	[day]	daily	FALSE
dflo.L	Days from Leaf Onset Low Vegetation	[day]	daily	FALSE
DQ	Resid. of the energy budget	[W/m2]	hourly	FALSE
dQVEG	Resid. from energy budget of snow free vegetation	[W/m2]	hourly	FALSE
Dr.H	Total Drainage from interc. water High Veg.	[mm]	hourly	FALSE
