Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster1	Cluster	345375	4683625	42.28951693	13.12445208	165	140
VelinoCluster2	Cluster	334375	4691625	42.35926258	12.98880985	133	96
VelinoCluster3	Cluster	372875	4644125	41.93885907	13.4664876	323	250
VelinoCluster4	Cluster	345875	4672375	42.18834912	13.13350158	210	142
VelinoCluster5	Cluster	324625	4713125	42.5506188	12.86392411	47	57
VelinoCluster6	Cluster	350875	4653875	42.02278062	13.19874538	284	162
VelinoCluster7	Cluster	390625	4636875	41.87623697	13.68189091	352	321
VelinoCluster8	Cluster	314625	4696625	42.39980188	12.74754669	113	17
VelinoCluster9	Cluster	352375	4714625	42.56992237	13.20135534	41	168
VelinoCluster10	Cluster	388375	4635125	41.86016491	13.65511302	359	312
VelinoCluster11	Cluster	337625	4699875	42.43420363	13.02592489	100	109
VelinoCluster12	Cluster	330625	4698625	42.42145659	12.94124295	105	81
VelinoCluster13	Cluster	363625	4673125	42.19839676	13.34819122	207	213
VelinoCluster14	Cluster	324875	4685625	42.30318192	12.87534497	157	58
VelinoCluster15	Cluster	341875	4663625	42.10878864	13.08745946	245	126
VelinoCluster16	Cluster	343625	4655125	42.03262543	13.11088562	279	133
VelinoCluster17	Cluster	333875	4702125	42.45366041	12.97971065	91	94
VelinoCluster18	Cluster	357625	4663875	42.11405582	13.27780874	244	189
VelinoCluster19	Cluster	347125	4714625	42.56890064	13.13742232	41	147
VelinoCluster20	Cluster	318625	4708125	42.50423789	12.7924814	67	33
VelinoCluster21	Cluster	331375	4678125	42.23711188	12.95633741	187	84
VelinoCluster22	Cluster	369375	4650375	41.99455815	13.42289466	298	236
VelinoCluster23	Cluster	344875	4671625	42.18140033	13.1215975	213	138
VelinoCluster24	Cluster	340125	4685625	42.30646006	13.06025357	157	119
VelinoCluster25	Cluster	313625	4701625	42.44455731	12.73378444	93	13
VelinoCluster26	Cluster	340375	4678625	42.24350373	13.06521403	185	120
VelinoCluster27	Cluster	354875	4677375	42.23508086	13.24119425	190	178
VelinoCluster28	Cluster	378375	4642125	41.9217183	13.53322545	331	272
VelinoCluster29	Cluster	397875	4642875	41.93123487	13.76820436	328	350
VelinoCluster30	Cluster	342125	4702375	42.45763481	13.07991611	90	127
VelinoCluster31	Cluster	401125	4639125	41.8978805	13.80802494	343	363
VelinoCluster32	Cluster	348875	4655625	42.03815262	13.17414858	277	154
VelinoCluster33	Cluster	392875	4651875	42.01161186	13.70627152	292	330
VelinoCluster34	Cluster	333875	4700875	42.44240997	12.98007229	96	94
VelinoCluster35	Cluster	375875	4639625	41.89881994	13.50361166	341	262
VelinoCluster36	Cluster	349375	4662375	42.09901206	13.17844959	250	156
