Name	Feature	UTM_X	UTM_Y	Lat	Lon
VelinoCluster1	Cluster	345625	4683375	42.28731613	13.1275496
VelinoCluster2	Cluster	335875	4689625	42.34157925	13.00758249
VelinoCluster3	Cluster	383625	4635125	41.85948059	13.59789999
VelinoCluster4	Cluster	344375	4673125	42.19480329	13.11514498
VelinoCluster5	Cluster	323375	4712125	42.5413346	12.84901857
VelinoCluster6	Cluster	350125	4656375	42.0451434	13.18905165
VelinoCluster7	Cluster	343125	4701875	42.45333739	13.09220825
VelinoCluster8	Cluster	371625	4646625	41.96116534	13.4508691
VelinoCluster9	Cluster	330375	4708625	42.51140282	12.93524932
VelinoCluster10	Cluster	349625	4715375	42.57614249	13.16766853
VelinoCluster11	Cluster	318125	4690875	42.34888299	12.79185784
VelinoCluster12	Cluster	385375	4633375	41.84397854	13.61931721
VelinoCluster13	Cluster	335875	4696875	42.40683372	13.005518
VelinoCluster14	Cluster	347625	4661125	42.08742192	13.15762267
VelinoCluster15	Cluster	382125	4642125	41.92228703	13.57843609
VelinoCluster16	Cluster	363125	4675375	42.21856517	13.34160766
VelinoCluster17	Cluster	333625	4666875	42.13633548	12.98680663
VelinoCluster18	Cluster	313875	4693625	42.37262541	12.73940978
VelinoCluster19	Cluster	317375	4712625	42.54443963	12.77584202
VelinoCluster20	Cluster	333625	4696875	42.40635486	12.97819194
VelinoCluster21	Cluster	344125	4700875	42.4445381	13.10463446
VelinoCluster22	Cluster	347875	4678125	42.24050012	13.15620452
VelinoCluster23	Cluster	351125	4680375	42.2613805	13.19499868
VelinoCluster24	Cluster	394875	4637875	41.885818	13.73291862
VelinoCluster25	Cluster	335875	4677625	42.23357003	13.01098456
VelinoCluster26	Cluster	384625	4639375	41.89789488	13.60911496
VelinoCluster27	Cluster	356875	4671125	42.1791861	13.26696089
VelinoCluster28	Cluster	329625	4706625	42.49323808	12.92672084
VelinoCluster29	Cluster	332625	4687875	42.32513623	12.96865965
VelinoCluster30	Cluster	337375	4661125	42.08536577	13.03375755
VelinoCluster31	Cluster	375875	4666375	42.13966484	13.4979532
VelinoCluster32	Cluster	390125	4631125	41.82439182	13.67693433
VelinoCluster33	Cluster	350625	4654625	42.02948482	13.19553614
VelinoCluster34	Cluster	342375	4712125	42.54544369	13.08027116
VelinoCluster35	Cluster	311875	4710125	42.52062377	12.70973233
VelinoCluster36	Cluster	350875	4647375	41.96426618	13.200395
