Name	Feature	UTM_X	UTM_Y	
Monte_Terminillo	Snow_station	334956.4500	4702314.8300	
ECAD_25988	Meteo_sta	339457.3207	4696372.0278	
VelinoCluster1	Cluster	347125	4687875	
VelinoCluster2	Cluster	328375	4686875	
VelinoCluster3	Cluster	388125	4642125	
VelinoCluster4	Cluster	338875	4673875	
VelinoCluster5	Cluster	353125	4647125	
VelinoCluster6	Cluster	326125	4710875	
VelinoCluster7	Cluster	338875	4699125	
VelinoCluster8	Cluster	318875	4691875	
VelinoCluster9	Cluster	392125	4633875	
VelinoCluster10	Cluster	345875	4677375	
VelinoCluster11	Cluster	351125	4654125	
VelinoCluster12	Cluster	330375	4706625	
VelinoCluster13	Cluster	376125	4638625	
VelinoCluster14	Cluster	315375	4708125	
VelinoCluster15	Cluster	355875	4681625	
VelinoCluster16	Cluster	369125	4646875	
VelinoCluster17	Cluster	344875	4714875	
VelinoCluster18	Cluster	334125	4684375	
VelinoCluster19	Cluster	320875	4710875	
VelinoCluster20	Cluster	336375	4664375	
VelinoCluster21	Cluster	347375	4669875	
VelinoCluster22	Cluster	375375	4643375	
VelinoCluster23	Cluster	361625	4674125	
VelinoCluster24	Cluster	343625	4690625	
VelinoCluster25	Cluster	353875	4675375	
VelinoCluster26	Cluster	337875	4699625	
VelinoCluster27	Cluster	327375	4693125	
VelinoCluster28	Cluster	340875	4708625	
VelinoCluster29	Cluster	349625	4713125	
VelinoCluster30	Cluster	344625	4656375	
VelinoCluster31	Cluster	342875	4661375	
VelinoCluster32	Cluster	330125	4707125	
VelinoCluster33	Cluster	323125	4694875	
VelinoCluster34	Cluster	345625	4693375	
VelinoCluster35	Cluster	340875	4680875	
VelinoCluster36	Cluster	356625	4666125	
VelinoCluster37	Cluster	393125	4639125	
VelinoCluster38	Cluster	348375	4660625	
VelinoCluster39	Cluster	334125	4666875	
VelinoCluster40	Cluster	313875	4696875	
VelinoCluster41	Cluster	393375	4640125	
VelinoCluster42	Cluster	340375	4699375	
VelinoCluster43	Cluster	380875	4664625	
VelinoCluster44	Cluster	377375	4641875	
VelinoCluster45	Cluster	354125	4670875	
VelinoCluster46	Cluster	331625	4662625	
VelinoCluster47	Cluster	358375	4660875	
VelinoCluster48	Cluster	325875	4703875	
VelinoCluster49	Cluster	349875	4668625	
VelinoCluster50	Cluster	394875	4646625	
VelinoCluster51	Cluster	347375	4712875	
VelinoCluster52	Cluster	318875	4700125	
VelinoCluster53	Cluster	382625	4656375	
VelinoCluster54	Cluster	372125	4660625	
VelinoCluster55	Cluster	352375	4671125	
VelinoCluster56	Cluster	374625	4653875	
VelinoCluster57	Cluster	331875	4693875	
VelinoCluster58	Cluster	382125	4639125	
VelinoCluster59	Cluster	330625	4686375	
VelinoCluster60	Cluster	351375	4672375	
VelinoCluster61	Cluster	330875	4678125	
VelinoCluster62	Cluster	355125	4680875	
VelinoCluster63	Cluster	363375	4653125	
VelinoCluster64	Cluster	350375	4706875	
VelinoCluster65	Cluster	340125	4660625	
VelinoCluster66	Cluster	378375	4647125	
VelinoCluster67	Cluster	387875	4655625	
VelinoCluster68	Cluster	316375	4691375	
VelinoCluster69	Cluster	387875	4646625	
VelinoCluster70	Cluster	326625	4702625	
VelinoCluster71	Cluster	318125	4706375	
VelinoCluster72	Cluster	341875	4704625	
VelinoCluster73	Cluster	384375	4661625	
VelinoCluster74	Cluster	384125	4665875	
VelinoCluster75	Cluster	334875	4678625	
VelinoCluster76	Cluster	388375	4650125	
VelinoCluster77	Cluster	344625	4704625	
VelinoCluster78	Cluster	353125	4650875	
VelinoCluster79	Cluster	356625	4666375	
VelinoCluster80	Cluster	345375	4708375	
VelinoCluster81	Cluster	345375	4703625	
VelinoCluster82	Cluster	319875	4693875	
VelinoCluster83	Cluster	392375	4648375	
VelinoCluster84	Cluster	398375	4643375	
VelinoCluster85	Cluster	373875	4662125	
VelinoCluster86	Cluster	362625	4672875	
VelinoCluster87	Cluster	332625	4664125	
VelinoCluster88	Cluster	346875	4718625	
VelinoCluster89	Cluster	357875	4663125	
VelinoCluster90	Cluster	347625	4683625	
VelinoCluster91	Cluster	378875	4664125	
VelinoCluster92	Cluster	337125	4703625	
VelinoCluster93	Cluster	367125	4656125	
VelinoCluster94	Cluster	326125	4707375	
VelinoCluster95	Cluster	367625	4656625	
VelinoCluster96	Cluster	326875	4697125	
VelinoCluster97	Cluster	361875	4673375	
VelinoCluster98	Cluster	337875	4682125	
VelinoCluster99	Cluster	370375	4665875	
VelinoCluster100	Cluster	340875	4692875	
