Name,LAT,LON,ELEV,hDebris,Var6,Var7,Var8,Station,Lat___,Lon___,Elevation_m_,VariableMeasured,RecordingSince,LON_UTM,LAT_UTM,ID,Elevation,Slope,Aspect,COL,ROW,idx
AWS_OnGlacier,39.09697,71.41769,3579,22.4,NaN,NaN,NaN,AWS on-glacier,39.09697,71.41769,3579,"Ta, RH, WS, WD, Swin/out, LWin/out, HS",July 2021,709078.790845069,4330320.30294514,0,0,0,0,19,107,4013
AWS_3900m,39.10003,71.43205,3910,0,NaN,NaN,NaN,Pluviometer station,39.11507,71.41184,3369,"P, Ta, RH, WS, WD, Swin/out, HS",July 2021,710311.681683596,4330693.11157878,0,0,0,0,31,110,6620
Pluvio,39.11507,71.41184,3372,0,NaN,NaN,NaN,Stream gauge n°1,39.1109,71.41408,3366,Water pressure and temperature,July 2021,708519.455294561,4332315.82758412,0,0,0,0,13,126,2730
Stakes_1,39.09693,71.41808,3585,14,NaN,NaN,NaN,Stream gauge n°3,39.13426267,71.45053147,3149,Water pressure and temperature,July 2021,709112.639925592,4330316.76141926,0,0,0,0,19,106,4012
Stakes_2,39.09713,71.41811,3579,25,NaN,NaN,NaN,Stream gauge n°4,39.15779974,71.54682835,2106,Water pressure and temperature,Sep 21,709114.643429027,4330339.02918894,0,0,0,0,19,107,4013
Stakes_3,39.09686,71.41746,3585,14,NaN,NaN,NaN,Tlogger + Camera,39.10609,71.42113,3529,"Ta, Snow height",July 2021,709059.223355414,4330307.56403312,0,0,0,0,19,106,4012
Stakes_4,39.09654,71.41768,3585,10,NaN,NaN,NaN,AWS ridge,39.10005,71.43203,3899,"Ta, WD, WS, RH, Swin/out, snow height",Sep 22,709079.19675169,4330272.55277891,0,0,0,0,19,106,4012
Stakes_5,39.09199,71.41781,3630,13.5,NaN,NaN,NaN,Tlogger + Camera,39.08273,71.42043,3695,"Ta, Snow height",July 2021,709103.887273801,4329767.83262414,0,0,0,0,19,101,4007
Stakes_6,39.09134,71.42001,3628,3,NaN,NaN,NaN,Tlogger + Camera,39.13514132,71.44479726,3186,"Ta, Snow height",July 2021,709296.099905619,4329700.75575991,0,0,0,0,21,100,4440
Stakes_7,39.09041,71.42164,3637,6,NaN,NaN,NaN,Caritas Station,39.12211,71.39651,3465,"Ta, RH, Press",Sep 22,709439.841477281,4329601.29044172,0,0,0,0,22,99,4656
Stakes_8,39.08788,71.42276,3649,5.5,NaN,NaN,NaN,Tlogger + Camera,39.15779974,71.54682835,2106,"Ta, Snow height",Sep 22,709544.210143037,4329323.06132699,0,0,0,0,23,97,4871
Stakes_9,39.08582,71.42365,3670,1,NaN,NaN,NaN,,NaN,NaN,NaN,,,709627.297399509,4329096.46929176,0,0,0,0,24,94,5085
Stakes_10,39.08216,71.4237,3710,9,NaN,NaN,NaN,,NaN,NaN,NaN,,,709642.463113453,4328690.34944155,0,0,0,0,24,90,5081
Stakes_11,39.08246,71.42005,3700,26,NaN,NaN,NaN,,NaN,NaN,NaN,,,709325.823424833,4328715.22810121,0,0,0,0,21,90,4430
Stakes_12,39.08369,71.41966,3679,30,NaN,NaN,NaN,,NaN,NaN,NaN,,,709288.448656162,4328850.85084362,0,0,0,0,21,92,4432
Stakes_13,39.08371,71.41998,3679,28,NaN,NaN,NaN,,NaN,NaN,NaN,,,709316.07131178,4328853.8082174,0,0,0,0,21,92,4432
S6n,39.09129,71.42005,3561,13,NaN,NaN,NaN,,NaN,NaN,NaN,,,709299.707651579,4329695.29829704,0,0,0,0,21,100,4440
S7n,39.08954,71.42196,3577,10,NaN,NaN,NaN,,NaN,NaN,NaN,,,709470.09599058,4329505.46441473,0,0,0,0,23,98,4872
S8n,39.08388,71.42267,3601,20,NaN,NaN,NaN,,NaN,NaN,NaN,,,709548.268142363,4328878.88062379,0,0,0,0,24,92,5083
S9n,39.08612,71.42358,3607,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,709620.353619776,4329129.60568727,0,0,0,0,24,95,5086
S10n,39.08251,71.42348,3679,14,NaN,NaN,NaN,,NaN,NaN,NaN,,,709622.394917268,4328728.68924266,0,0,0,0,24,91,5082
S14,39.09617,71.41787,3528,19,NaN,NaN,NaN,,NaN,NaN,NaN,,,709096.723383688,4330231.92281072,0,0,0,0,19,106,4012
S15,39.08388,71.41976,3635,29,NaN,NaN,NaN,,NaN,NaN,NaN,,,709296.537376651,4328872.1700081,0,0,0,0,21,92,4432
Gauge1,39.1109,71.41408,3366,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,708725.451389792,4331858.13363289,0,0,0,0,15,122,3160
Gauge2,39.13494,71.44488,3170,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711316.914903122,4334597.71788428,0,0,0,0,41,149,8829
Gauge3,39.13426267,71.45053147,3149,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711807.476904903,4334535.71831181,0,0,0,0,46,149,9914
Gauge4,39.15779974,71.54682835,2112,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,720058.476074394,4337377.51346198,0,0,0,0,129,177,27953
T_logger_off3500,39.10609,71.42113,3529,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,709349.320186541,4331340.49110215,0,0,0,0,22,117,4674
T_logger_off3900,39.10005,71.43203,3899,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,710309.892505213,4330695.28511843,0,0,0,0,31,110,6620
T_logger_on3695,39.08273,71.42043,3695,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,709357.897530433,4328746.07219392,0,0,0,0,22,91,4648
T_logger_off3200,39.13514132,71.44479726,3186,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711309.160440265,4334619.87053759,0,0,0,0,41,149,8829
T_logger_off2100,39.15813,71.54635,2130,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,720016.109294556,4337413.01022599,0,0,0,0,128,177,27736
baro_st2_st3,39.13529693,71.44239032,3205,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711100.632507497,4334631.53835559,0,0,0,0,39,150,8396
Cluster_0,39.0310104437153,71.4907292125596,0,0,0,0,0,,0,0,0,,,715596.6305,4323169.9468,33,3910.56810222786,0.582912571152867,3.80183950240905,84,35,18046
Cluster_1,39.0209839751171,71.4961519452545,0,0,0,0,0,,0,0,0,,,716096.6305,4322069.9468,34,4906.26422769466,0.82117531411459,3.68517386645852,89,24,19120
Cluster_2,39.0404764755854,71.4263660061066,0,0,0,0,0,,0,0,0,,,709996.6305,4324069.9468,35,4707.88798813806,0.465443497878715,2.08255644629592,28,44,5903
Cluster_3,39.0116704797662,71.4681089576364,0,0,0,0,0,,0,0,0,,,713696.6305,4320969.9468,36,5631.10048761303,0.596210956806545,2.1132579294408,65,13,13901
Cluster_4,39.0612798800822,71.4224558421586,0,0,0,0,0,,0,0,0,,,709596.6305,4326369.9468,37,4555.29088078683,0.741385000192525,2.69658610919347,24,67,5058
Cluster_5,39.0775383554206,71.4634681395917,0,0,0,0,0,,0,0,0,,,713096.6305,4328269.9468,38,4425.58333953828,0.639430710180997,3.1632486529956,59,86,12672
